Tax Code ID,Year,Levy Rate,Levy Amount,Assessed Value
1,2023,9.5,237500,25000000
1,2024,10.0,250000,25000000
1,2025,10.0,250000,25000000
2,2023,9.5,175750,18500000
2,2024,10.0,185000,18500000
2,2025,10.0,185000,18500000
3,2023,9.5,121125,12750000
3,2024,10.0,127500,12750000
3,2025,10.0,127500,12750000
4,2023,14.5,1812500,125000000
4,2024,15.0,1875000,125000000
4,2025,15.0,1875000,125000000
5,2023,14.5,1377500,95000000
5,2024,15.0,1425000,95000000
5,2025,15.0,1425000,95000000
6,2023,14.5,1138250,78500000
6,2024,15.0,1177500,78500000
6,2025,15.0,1177500,78500000
7,2023,14.5,1595000,110000000
7,2024,15.0,1650000,110000000
7,2025,15.0,1650000,110000000
8,2023,14.5,1232500,85000000
8,2024,15.0,1275000,85000000
8,2025,15.0,1275000,85000000
9,2023,14.5,906250,62500000
9,2024,15.0,937500,62500000
9,2025,15.0,937500,62500000
10,2023,9.5,427500,45000000
10,2024,10.0,450000,45000000
10,2025,10.0,450000,45000000
11,2023,9.5,308750,32500000
11,2024,10.0,325000,32500000
11,2025,10.0,325000,32500000
12,2023,4.8,840000,175000000
12,2024,5.0,875000,175000000
12,2025,5.0,875000,175000000
13,2023,4.8,600000,125000000
13,2024,5.0,625000,125000000
13,2025,5.0,625000,125000000
14,2023,9.7,1455000,150000000
14,2024,10.0,1500000,150000000
14,2025,10.0,1500000,150000000
15,2023,9.7,1212500,125000000
15,2024,10.0,1250000,125000000
15,2025,10.0,1250000,125000000
16,2023,9.7,1309500,135000000
16,2024,10.0,1350000,135000000
16,2025,10.0,1350000,135000000
17,2023,9.7,1067000,110000000
17,2024,10.0,1100000,110000000
17,2025,10.0,1100000,110000000
18,2023,9.7,727500,75000000
18,2024,10.0,750000,75000000
18,2025,10.0,750000,75000000
19,2023,1.9,665000,350000000
19,2024,2.0,700000,350000000
19,2025,2.0,700000,350000000
20,2023,1.9,427500,225000000
20,2024,2.0,450000,225000000
20,2025,2.0,450000,225000000
21,2023,1.9,332500,175000000
21,2024,2.0,350000,175000000
21,2025,2.0,350000,175000000
22,2023,0.95,403750,425000000
22,2024,1.0,425000,425000000
22,2025,1.0,425000,425000000