Parcel ID,Tax Code ID,Property Type,Address,City,Zip Code,Assessed Value,Year
100001,1,RESIDENTIAL,1234 Rural Road,Richland,99352,350000,2025
100002,1,RESIDENTIAL,1236 Rural Road,Richland,99352,425000,2025
100003,1,AGRICULTURAL,2500 Farm Lane,Richland,99352,750000,2025
100004,2,RESIDENTIAL,5678 County Highway,Kennewick,99336,295000,2025
100005,2,COMMERCIAL,8765 Business Park,Kennewick,99336,1250000,2025
100006,3,RESIDENTIAL,9012 Rural Drive,Prosser,99350,275000,2025
100007,3,AGRICULTURAL,5432 Farm Avenue,Prosser,99350,850000,2025
200001,4,RESIDENTIAL,123 Main Street,Kennewick,99336,325000,2025
200002,4,RESIDENTIAL,125 Main Street,Kennewick,99336,350000,2025
200003,4,COMMERCIAL,500 Central Avenue,Kennewick,99336,1500000,2025
200004,5,RESIDENTIAL,789 North Boulevard,Kennewick,99336,375000,2025
200005,5,COMMERCIAL,1000 Shopping Center,Kennewick,99336,2500000,2025
200006,6,COMMERCIAL,1500 Business Way,Kennewick,99336,1750000,2025
200007,6,INDUSTRIAL,2000 Industry Park,Kennewick,99336,3250000,2025
300001,7,COMMERCIAL,100 Downtown Plaza,Richland,99352,1250000,2025
300002,7,COMMERCIAL,200 City Center,Richland,99352,1500000,2025
300003,8,RESIDENTIAL,300 South Avenue,Richland,99352,395000,2025
300004,8,RESIDENTIAL,400 South Avenue,Richland,99352,425000,2025
300005,9,RESIDENTIAL,500 West Street,Richland,99352,375000,2025
300006,9,COMMERCIAL,600 Mixed Use Boulevard,Richland,99352,950000,2025
400001,10,RESIDENTIAL,100 Historic Lane,Prosser,99350,275000,2025
400002,10,COMMERCIAL,200 Old Town Road,Prosser,99350,750000,2025
400003,11,RESIDENTIAL,300 East Avenue,Prosser,99350,265000,2025
400004,11,RESIDENTIAL,400 East Avenue,Prosser,99350,285000,2025